Date,Vaccine,first dose,Second dose
2021-04-29,Covishield Vaccine,925242,3445
2021-04-29,Sinopharm Vaccine,2469,2435
2021-04-30,Covishield Vaccine,925242,22919
2021-04-30,Sinopharm Vaccine,2865,2435
2021-05-01,Covishield Vaccine,925242,60757
2021-05-01,Sinopharm Vaccine,2865,2435
2021-05-02,Covishield Vaccine,925242,85653
2021-05-02,Sinopharm Vaccine,2865,2435
2021-05-03,Covishield Vaccine,925242,94436
2021-05-03,Sinopharm Vaccine,2865,2435
2021-05-04,Covishield Vaccine,925242,117571
2021-05-04,Sinopharm Vaccine,2865,2435
2021-05-05,Covishield Vaccine,925242,139286
2021-05-05,Sinopharm Vaccine,2865,2435
2021-05-06,Covishield Vaccine,925242,157551
2021-05-06,Sinopharm Vaccine,2865,2435
2021-05-07,Covishield Vaccine,925242,174800
2021-05-07,Sinopharm Vaccine,2865,2435
2021-05-07,Sputnik V,669,0
2021-05-08,Covishield Vaccine,925242,187775
2021-05-08,Sinopharm Vaccine,2865,2435
2021-05-08,Sputnik V,1669,0
2021-05-09,Covishield Vaccine,925242,194905
2021-05-09,Sinopharm Vaccine,3158,2435
2021-05-09,Sputnik V,2996,0
2021-05-10,Covishield Vaccine,925242,196546
2021-05-10,Sinopharm Vaccine,6034,2435
2021-05-10,Sputnik V,4381,0
2021-05-11,Covishield Vaccine,925242,211518
2021-05-11,Sinopharm Vaccine,23575,2435
2021-05-11,Sputnik V,5878,0
2021-05-12,Covishield Vaccine,925242,221368
2021-05-12,Sinopharm Vaccine,71203,2435
2021-05-12,Sputnik V,11338,0
2021-05-13,Covishield Vaccine,925242,231557
2021-05-13,Sinopharm Vaccine,150606,2435
2021-05-13,Sputnik V,14673,0
2021-05-14,Covishield Vaccine,925242,241522
2021-05-14,Sinopharm Vaccine,214880,2435
2021-05-14,Sputnik V,14673,0
2021-05-15,Covishield Vaccine,925242,256004
2021-05-15,Sinopharm Vaccine,276762,2435
2021-05-15,Sputnik V,14673,0
2021-05-16,Covishield Vaccine,925242,265465
2021-05-16,Sinopharm Vaccine,348619,2435
2021-05-16,Sputnik V,14699,0
2021-05-17,Covishield Vaccine,925242,267077
2021-05-17,Sinopharm Vaccine,375316,2435
2021-05-17,Sputnik V,14699,0
2021-05-18,Covishield Vaccine,925242,292457
2021-05-18,Sinopharm Vaccine,424823,2435
2021-05-18,Sputnik V,14699,0
2021-05-19,Covishield Vaccine,925242,297686
2021-05-19,Sinopharm Vaccine,457840,2435
2021-05-19,Sputnik V,14917,0
2021-05-20,Covishield Vaccine,925242,304961
2021-05-20,Sinopharm Vaccine,474685,2435
2021-05-20,Sputnik V,14934,0
2021-05-21,Covishield Vaccine,925242,313699
2021-05-21,Sinopharm Vaccine,485373,2435
2021-05-21,Sputnik V,14941,0
2021-05-22,Covishield Vaccine,925242,320196
2021-05-22,Sinopharm Vaccine,501493,2435
2021-05-22,Sputnik V,14941,0
2021-05-23,Covishield Vaccine,925242,325796
2021-05-23,Sinopharm Vaccine,511905,2435
2021-05-23,Sputnik V,14984,0
2021-05-24,Covishield Vaccine,925242,330988
2021-05-24,Sinopharm Vaccine,514259,2435
2021-05-24,Sputnik V,14984,0
2021-05-25,Covishield Vaccine,925242,338493
2021-05-25,Sinopharm Vaccine,516259,2435
2021-05-25,Sputnik V,14984,0
2021-05-26,Covishield Vaccine,925242,340842
2021-05-26,Sinopharm Vaccine,517824,2435
2021-05-26,Sputnik V,14984,0
2021-05-27,Covishield Vaccine,925242,341541
2021-05-27,Sinopharm Vaccine,521470,2435
2021-05-27,Sputnik V,14984,0
2021-05-28,Covishield Vaccine,925242,341962
2021-05-28,Sinopharm Vaccine,563409,2435
2021-05-28,Sputnik V,14984,0
2021-05-29,Covishield Vaccine,925242,343293
2021-05-29,Sinopharm Vaccine,580031,2435
2021-05-29,Sputnik V,14984,0
2021-05-30,Covishield Vaccine,925242,343805
2021-05-30,Sinopharm Vaccine,601508,2435
2021-05-30,Sputnik V,14984,0
2021-05-31,Covishield Vaccine,925242,345789
2021-05-31,Sinopharm Vaccine,666612,2435
2021-05-31,Sputnik V,16664,0
2021-06-01,Covishield Vaccine,925242,347310
2021-06-01,Sinopharm Vaccine,739499,2435
2021-06-01,Sputnik V,26821,0
2021-06-02,Covishield Vaccine,925242,348582
2021-06-02,Sinopharm Vaccine,797205,2435
2021-06-02,Sputnik V,44189,0
2021-06-03,Covishield Vaccine,925242,350163
2021-06-03,Sinopharm Vaccine,846583,0
2021-06-03,Sputnik V,62703,0
2021-06-04,Covishield Vaccine,925242,350958
2021-06-04,Sinopharm Vaccine,891630,0
2021-06-04,Sputnik V,64986,0
2021-06-05,Covishield Vaccine,925242,351459
2021-06-05,Sinopharm Vaccine,930573,0
2021-06-05,Sputnik V,64986,0
2021-06-06,Covishield Vaccine,925242,353156
2021-06-06,Sinopharm Vaccine,953480,0
2021-06-06,Sputnik V,64986,0
2021-06-07,Covishield Vaccine,925242,353302
2021-06-07,Sinopharm Vaccine,957959,0
2021-06-07,Sputnik V,64986,0
2021-06-08,Covishield Vaccine,925242,353789
2021-06-08,Sinopharm Vaccine,989574,0
2021-06-08,Sputnik V,64986,0
2021-06-09,Covishield Vaccine,925242,353789
2021-06-09,Sinopharm Vaccine,1033028,166
2021-06-09,Sputnik V,64986,0
2021-06-10,Covishield Vaccine,925242,354651
2021-06-10,Sinopharm Vaccine,1099092,6994
2021-06-10,Sputnik V,64986,0
2021-06-11,Covishield Vaccine,925242,354993
2021-06-11,Sinopharm Vaccine,1166707,32445
2021-06-11,Sputnik V,64986,0
2021-06-12,Covishield Vaccine,925242,355177
2021-06-12,Sinopharm Vaccine,1209276,78025
2021-06-12,Sputnik V,64986,0
2021-06-13,Covishield Vaccine,925242,355358
2021-06-13,Sinopharm Vaccine,1269157,154640
2021-06-13,Sputnik V,64986,0
2021-06-14,Covishield Vaccine,925242,355412
2021-06-14,Sinopharm Vaccine,1295344,187372
2021-06-14,Sputnik V,64986,2114
2021-06-15,Covishield Vaccine,925242,355675
2021-06-15,Sinopharm Vaccine,1326784,253835
2021-06-15,Sputnik V,64986,3690
2021-06-16,Covishield Vaccine,925242,356232
2021-06-16,Sinopharm Vaccine,1360336,317431
2021-06-16,Sputnik V,64986,3690
2021-06-17,Covishield Vaccine,925242,356503
2021-06-17,Sinopharm Vaccine,1390126,339932
2021-06-17,Sputnik V,64986,6116
2021-06-18,Covishield Vaccine,925242,356610
2021-06-18,Sinopharm Vaccine,1401455,382972
2021-06-18,Sputnik V,64986,8991
2021-06-19,Covishield Vaccine,925242,357868
2021-06-19,Sinopharm Vaccine,1423874,417448
2021-06-19,Sputnik V,81695,11691
2021-06-20,Covishield Vaccine,925242,357868
2021-06-20,Sinopharm Vaccine,1434468,434083
2021-06-20,Sputnik V,95470,14301
2021-06-21,Covishield Vaccine,925242,372158
2021-06-21,Sinopharm Vaccine,1437112,442657
2021-06-21,Sputnik V,110453,14301
2021-06-22,Covishield Vaccine,925242,372290
2021-06-22,Sinopharm Vaccine,1443470,455592
2021-06-22,Sputnik V,113454,14301
2021-06-23,Covishield Vaccine,925242,372675
2021-06-23,Sinopharm Vaccine,1448601,470870
2021-06-23,Sputnik V,113454,14323
2021-06-24,Covishield Vaccine,925242,372719
2021-06-24,Sinopharm Vaccine,1461732,479750
2021-06-24,Sputnik V,113454,14323
2021-06-25,Covishield Vaccine,925242,372719
2021-06-25,Sinopharm Vaccine,1474958,483910
2021-06-25,Sputnik V,113454,14363
2021-06-26,Covishield Vaccine,925242,372719
2021-06-26,Sinopharm Vaccine,1502985,487893
2021-06-26,Sputnik V,114795,14363
2021-06-27,Covishield Vaccine,925242,372868
2021-06-27,Sinopharm Vaccine,1533780,492850
2021-06-27,Sputnik V,114795,14425
2021-06-28,Covishield Vaccine,925242,372899
2021-06-28,Sinopharm Vaccine,1565521,513195
2021-06-28,Sputnik V,114795,14425
2021-06-29,Covishield Vaccine,925242,374040
2021-06-29,Sinopharm Vaccine,1596487,551007
2021-06-29,Sputnik V,114795,14425
2021-06-30,Covishield Vaccine,925242,375784
2021-06-30,Sinopharm Vaccine,1657741,605116
2021-06-30,Sputnik V,114795,14425
2021-07-01,Covishield Vaccine,925242,378307
2021-07-01,Sinopharm Vaccine,1749500,684352
2021-07-01,Sputnik V,114795,14427
2021-07-02,Covishield Vaccine,925242,381979
2021-07-02,Sinopharm Vaccine,1849565,750572
2021-07-02,Sputnik V,114795,14427
2021-07-03,Covishield Vaccine,925242,383329
2021-07-03,Sinopharm Vaccine,1876293,808743
2021-07-03,Sputnik V,114795,14427
2021-07-04,Covishield Vaccine,925242,384047
2021-07-04,Sinopharm Vaccine,1911208,836814
2021-07-04,Sputnik V,114795,14427
2021-07-05,Covishield Vaccine,925242,384047
2021-07-05,Sinopharm Vaccine,1931714,851969
2021-07-05,Sputnik V,114795,14427
2021-07-06,Covishield Vaccine,925242,384227
2021-07-06,Sinopharm Vaccine,2064929,870446
2021-07-06,Sputnik V,114795,14428
2021-07-07,Covishield Vaccine,925242,384294
2021-07-07,Sinopharm Vaccine,2204380,885809
2021-07-07,Sputnik V,114795,14428
2021-07-08,Covishield Vaccine,925242,384374
2021-07-08,Sinopharm Vaccine,2356130,921702
2021-07-08,Sputnik V,114795,14452
2021-07-08,Pfizer,2171,0
2021-07-09,Covishield Vaccine,925242,384454
2021-07-09,Sinopharm Vaccine,2544614,955252
2021-07-09,Sputnik V,114795,14464
2021-07-09,Pfizer,2171,0
2021-07-10,Covishield Vaccine,925242,384502
2021-07-10,Sinopharm Vaccine,2714385,979730
2021-07-10,Sputnik V,114795,14464
2021-07-10,Pfizer,3455,0
2021-07-11,Covishield Vaccine,925242,385647
2021-07-11,Sinopharm Vaccine,2856147,1023128
2021-07-11,Sputnik V,114795,14464
2021-07-11,Pfizer,11069,0
2021-07-12,Covishield Vaccine,925242,385669
2021-07-12,Sinopharm Vaccine,2940706,1046840
2021-07-12,Sputnik V,125444,14464
2021-07-12,Pfizer,18348,0
2021-07-13,Covishield Vaccine,925242,385849
2021-07-13,Sinopharm Vaccine,3128403,1104496
2021-07-13,Sputnik V,138801,14464
2021-07-13,Pfizer,23073,0
2021-07-14,Covishield Vaccine,925242,385885
2021-07-14,Sinopharm Vaccine,3417525,1136881
2021-07-14,Sputnik V,154003,14464
2021-07-14,Pfizer,23767,0
2021-07-15,Covishield Vaccine,925242,385885
2021-07-15,Sinopharm Vaccine,3764750,1183391
2021-07-15,Sputnik V,157368,14464
2021-07-15,Pfizer,31183,0
2021-07-16,Covishield Vaccine,925242,385885
2021-07-16,Sinopharm Vaccine,4053819,1228527
2021-07-16,Sputnik V,157368,14464
2021-07-16,Pfizer,39176,0
2021-07-17,Covishield Vaccine,925242,385885
2021-07-17,Sinopharm Vaccine,4276535,1245827
2021-07-17,Sputnik V,157368,14464
2021-07-17,Pfizer,45793,0
2021-07-18,Covishield Vaccine,925242,385885
2021-07-18,Sinopharm Vaccine,4449546,1267725
2021-07-18,Sputnik V,157368,14464
2021-07-18,Pfizer,46753,0
2021-07-19,Covishield Vaccine,925242,385885
2021-07-19,Sinopharm Vaccine,4534165,1286215
2021-07-19,Sputnik V,159081,14464
2021-07-19,Pfizer,46753,0
2021-07-19,Moderna,10088,0
2021-07-20,Covishield Vaccine,925242,385885
2021-07-20,Sinopharm Vaccine,4635090,1297337
2021-07-20,Sputnik V,159081,14464
2021-07-20,Pfizer,49081,0
2021-07-20,Moderna,107787,0
2021-07-21,Covishield Vaccine,925242,385885
2021-07-21,Sinopharm Vaccine,4748225,1313337
2021-07-21,Sputnik V,159081,14464
2021-07-21,Pfizer,67826,0
2021-07-21,Moderna,238383,0
2021-07-22,Covishield Vaccine,925242,385885
2021-07-22,Sinopharm Vaccine,4791039,1322649
2021-07-22,Sputnik V,159081,14464
2021-07-22,Pfizer,91992,0
2021-07-22,Moderna,349848,0
2021-07-23,Covishield Vaccine,925242,385885
2021-07-23,Sinopharm Vaccine,4879213,1335965
2021-07-23,Sputnik V,159081,14464
2021-07-23,Pfizer,112750,0
2021-07-23,Moderna,466247,0
2021-07-24,Covishield Vaccine,925242,385885
2021-07-24,Sinopharm Vaccine,4919323,1346048
2021-07-24,Sputnik V,159081,14464
2021-07-24,Pfizer,126058,0
2021-07-24,Moderna,563368,0
2021-07-25,Covishield Vaccine,925242,385885
2021-07-25,Sinopharm Vaccine,5270508,1393084
2021-07-25,Sputnik V,159081,14503
2021-07-25,Pfizer,126058,0
2021-07-25,Moderna,633198,0
2021-07-26,Covishield Vaccine,925242,385885
2021-07-26,Sinopharm Vaccine,5565424,1406224
2021-07-26,Sputnik V,159081,14503
2021-07-26,Pfizer,113967,0
2021-07-26,Moderna,670583,0
2021-07-27,Covishield Vaccine,925242,385885
2021-07-27,Sinopharm Vaccine,5945237,1482305
2021-07-27,Sputnik V,159081,14503
2021-07-27,Pfizer,114075,0
2021-07-27,Moderna,696003,0
2021-07-28,Covishield Vaccine,925242,385885
2021-07-28,Sinopharm Vaccine,6324298,1486542
2021-07-28,Sputnik V,159081,14503
2021-07-28,Pfizer,114105,0
2021-07-28,Moderna,709468,0
2021-07-29,Covishield Vaccine,925242,385885
2021-07-29,Sinopharm Vaccine,6769468,1593996
2021-07-29,Sputnik V,159081,14503
2021-07-29,Pfizer,155017,0
2021-07-29,Moderna,709625,0
2021-07-30,Covishield Vaccine,925242,385885
2021-07-30,Sinopharm Vaccine,7188692,1663421
2021-07-30,Sputnik V,159081,14503
2021-07-30,Pfizer,194101,0
2021-07-30,Moderna,711793,0
2021-07-31,Covishield Vaccine,925242,385885
2021-07-31,Sinopharm Vaccine,7639488,1733718
2021-07-31,Sputnik V,159081,14503
2021-07-31,Pfizer,199100,0
2021-07-31,Moderna,711793,0
2021-08-01,Covishield Vaccine,925242,385885
2021-08-01,Sinopharm Vaccine,7945206,1753818
2021-08-01,Sputnik V,159081,14503
2021-08-01,Pfizer,201495,0
2021-08-01,Moderna,713659,0
2021-08-02,Covishield Vaccine,925242,455151
2021-08-02,Sinopharm Vaccine,8077072,1785041
2021-08-02,Sputnik V,159081,14503
2021-08-02,Pfizer,201495,192
2021-08-02,Moderna,714091,0
2021-08-03,Covishield Vaccine,948223,630136
2021-08-03,Sinopharm Vaccine,8284463,1803524
2021-08-03,Sputnik V,159081,14503
2021-08-03,Pfizer,201507,198
2021-08-03,Moderna,716581,0
2021-08-04,Covishield Vaccine,973732,756646
2021-08-04,Sinopharm Vaccine,8429229,1812744
2021-08-04,Sputnik V,159081,14503
2021-08-04,Pfizer,201507,198
2021-08-04,Moderna,717736,0
2021-08-05,Covishield Vaccine,1004231,807539
2021-08-05,Sinopharm Vaccine,8527195,1823802
2021-08-05,Sputnik V,159081,14503
2021-08-05,Pfizer,202815,198
2021-08-05,Moderna,723361,0
2021-08-06,Covishield Vaccine,1035554,833606
2021-08-06,Sinopharm Vaccine,8615292,1830680
2021-08-06,Sputnik V,159081,14503
2021-08-06,Pfizer,243971,274
2021-08-06,Moderna,723361,0
2021-08-07,Covishield Vaccine,1074219,851153
2021-08-07,Sinopharm Vaccine,8661405,1833281
2021-08-07,Sputnik V,159081,14516
2021-08-07,Pfizer,247801,400
2021-08-07,Moderna,728826,0
2021-08-08,Covishield Vaccine,1103873,860723
2021-08-08,Sinopharm Vaccine,8724866,1903017
2021-08-08,Sputnik V,159081,14516
2021-08-08,Pfizer,250763,458
2021-08-08,Moderna,747941,0
2021-08-09,Covishield Vaccine,1127008,861744
2021-08-09,Sinopharm Vaccine,8794593,2061775
2021-08-09,Sputnik V,159081,14516
2021-08-09,Pfizer,251474,533
2021-08-09,Moderna,748936,0
2021-08-10,Covishield Vaccine,1152584,865364
2021-08-10,Sinopharm Vaccine,8948551,2369042
2021-08-10,Sputnik V,159081,14516
2021-08-10,Pfizer,251643,748
2021-08-10,Moderna,748936,0
2021-08-11,Covishield Vaccine,1183071,867811
2021-08-11,Sinopharm Vaccine,9057321,2646162
2021-08-11,Sputnik V,159081,14516
2021-08-11,Pfizer,251751,1026
2021-08-11,Moderna,758251,0
2021-08-12,Covishield Vaccine,1222043,868058
2021-08-12,Sinopharm Vaccine,9140644,2884051
2021-08-12,Sputnik V,159081,14516
2021-08-12,Pfizer,251846,9351
2021-08-12,Moderna,761136,0
2021-08-13,Covishield Vaccine,1253473,869853
2021-08-13,Sinopharm Vaccine,9246429,3116114
2021-08-13,Sputnik V,159081,14516
2021-08-13,Pfizer,251963,16602
2021-08-13,Moderna,761136,0
2021-08-14,Covishield Vaccine,1276412,870939
2021-08-14,Sinopharm Vaccine,9313897,3394241
2021-08-14,Sputnik V,159081,14516
2021-08-14,Pfizer,252127,22876
2021-08-14,Moderna,761136,0
2021-08-15,Covishield Vaccine,1293631,871432
2021-08-15,Sinopharm Vaccine,9379926,3614645
2021-08-15,Sputnik V,159081,14517
2021-08-15,Pfizer,252229,26908
2021-08-15,Moderna,765441,0
2021-08-16,Covishield Vaccine,1295835,871841
2021-08-16,Sinopharm Vaccine,9407204,3698303
2021-08-16,Sputnik V,159081,14517
2021-08-16,Pfizer,252290,31605
2021-08-16,Moderna,765441,0
2021-08-17,Covishield Vaccine,1300070,872667
2021-08-17,Sinopharm Vaccine,9455968,3924819
2021-08-17,Sputnik V,159081,14517
2021-08-17,Pfizer,252374,36468
2021-08-17,Moderna,765441,0
2021-08-18,Covishield Vaccine,1307782,872904
2021-08-18,Sinopharm Vaccine,9478735,4028984
2021-08-18,Sputnik V,159081,14517
2021-08-18,Pfizer,252490,39883
2021-08-18,Moderna,765651,0
2021-08-19,Covishield Vaccine,1314937,874236
2021-08-19,Sinopharm Vaccine,9521900,4167616
2021-08-19,Sputnik V,159081,14517
2021-08-19,Pfizer,252554,40496
2021-08-19,Moderna,770721,27320
2021-08-20,Covishield Vaccine,1317456,874747
2021-08-20,Sinopharm Vaccine,9551446,4281177
2021-08-20,Sputnik V,159088,14525
2021-08-20,Pfizer,253946,42701
2021-08-20,Moderna,771201,98634
2021-08-21,Covishield Vaccine,1323659,875058
2021-08-21,Sinopharm Vaccine,9565302,4354883
2021-08-21,Sputnik V,159088,14573
2021-08-21,Pfizer,254003,101957
2021-08-21,Moderna,771321,167844
2021-08-22,Covishield Vaccine,1326261,876276
2021-08-22,Sinopharm Vaccine,9578129,4400417
2021-08-22,Sputnik V,159088,14573
2021-08-22,Pfizer,254020,103536
2021-08-22,Moderna,771366,225452
2021-08-23,Covishield Vaccine,1327151,876363
2021-08-23,Sinopharm Vaccine,9584978,4414527
2021-08-23,Sputnik V,159088,14573
2021-08-23,Pfizer,254032,103716
2021-08-23,Moderna,771381,255726
2021-08-24,Covishield Vaccine,1335262,880017
2021-08-24,Sinopharm Vaccine,9609702,4466999
2021-08-24,Sputnik V,159088,19375
2021-08-24,Pfizer,254044,104142
2021-08-24,Moderna,771396,336963
2021-08-25,Covishield Vaccine,1341027,880417
2021-08-25,Sinopharm Vaccine,9623794,4519751
2021-08-25,Sputnik V,159088,23797
2021-08-25,Pfizer,254299,104355
2021-08-25,Moderna,771426,421131
2021-08-26,Covishield Vaccine,1347359,881230
2021-08-26,Sinopharm Vaccine,9639824,4615851
2021-08-26,Sputnik V,159088,25489
2021-08-26,Pfizer,302619,104531
2021-08-26,Moderna,771441,494439
2021-08-27,Covishield Vaccine,1353936,881738
2021-08-27,Sinopharm Vaccine,9665009,4863109
2021-08-27,Sputnik V,159088,25489
2021-08-27,Pfizer,305639,150001
2021-08-27,Moderna,771449,543959
2021-08-28,Covishield Vaccine,1364244,882340
2021-08-28,Sinopharm Vaccine,9689350,5199526
2021-08-28,Sputnik V,159088,25489
2021-08-28,Pfizer,306341,181759
2021-08-28,Moderna,771459,584024
2021-08-29,Covishield Vaccine,1368772,883019
2021-08-29,Sinopharm Vaccine,9703557,5331070
2021-08-29,Sputnik V,159088,25489
2021-08-29,Pfizer,306373,182555
2021-08-29,Moderna,771464,620285
2021-08-30,Covishield Vaccine,1370163,884479
2021-08-30,Sinopharm Vaccine,9718191,5447500
2021-08-30,Sputnik V,159088,25489
2021-08-30,Pfizer,306374,183532
2021-08-30,Moderna,771471,632120
2021-08-31,Covishield Vaccine,1382150,885132
2021-08-31,Sinopharm Vaccine,9804468,5954619
2021-08-31,Sputnik V,159088,25489
2021-08-31,Pfizer,306386,185194
2021-08-31,Moderna,771487,652977
2021-09-01,Covishield Vaccine,1386168,885617
2021-09-01,Sinopharm Vaccine,9845634,6396905
2021-09-01,Sputnik V,159088,25489
2021-09-01,Pfizer,306403,186839
2021-09-01,Moderna,771656,674382
